nombre,tipo,zona,precio
American Blend Pink (30 g) CM,tabaco-liar,nacional,2.9
American Blend Red (30 g),tabaco-liar,nacional,5.8
American Blend White (30 g),tabaco-liar,nacional,5.8
Virginia Blend Authentic (30 g),tabaco-liar,nacional,5
Virginia Blend Authentic (30 g) CM,tabaco-liar,nacional,3
Virginia Blend Green (30 g),tabaco-liar,nacional,4.95
Virginia Blend Green (30 g) CM,tabaco-liar,nacional,2.9
Virginia Blend Yellow (30 g),tabaco-liar,nacional,4.95
Virginia Blend Yellow (30 g) CM,tabaco-liar,nacional,2.9
1528 (30 g),tabaco-liar,nacional,5.3
1528 Gold (30 g),tabaco-liar,nacional,5.3
1637 Blond (40 g),tabaco-liar,nacional,9.5
187 #S04 Quelle (200 g),tabaco-liar,nacional,17.5
187 #S04 Quelle (50 g),tabaco-liar,nacional,4.55
187 040 (200 g),tabaco-liar,nacional,17.5
187 040 (50 g),tabaco-liar,nacional,4.55
187 Beach Vibez (200 g),tabaco-liar,nacional,17.5
187 Beach Vibez (50 g),tabaco-liar,nacional,4.55
187 Blue Devil (200 g),tabaco-liar,nacional,17.5
187 Blue Devil (50 g),tabaco-liar,nacional,4.55
187 Dd Music (200 g),tabaco-liar,nacional,17.5
187 Dd Music (50 g),tabaco-liar,nacional,4.55
187 Ello&Raffa (200 g),tabaco-liar,nacional,17.5
187 Ello&Raffa (50 g),tabaco-liar,nacional,4.55
187 Happy Caztuz (200 g),tabaco-liar,nacional,17.5
187 Happy Caztuz (50 g),tabaco-liar,nacional,4.55
187 Holy Tropical (200 g),tabaco-liar,nacional,17.5
187 Holy Tropical (50 g),tabaco-liar,nacional,4.55
187 I Love Hamburg (200 g),tabaco-liar,nacional,17.5
187 I Love Hamburg (50 g),tabaco-liar,nacional,4.55
187 Iscrea Pistoco (200 g),tabaco-liar,nacional,17.5
187 Iscrea Pistoco (50 g),tabaco-liar,nacional,4.55
187 Jucy Puzzy (200 g),tabaco-liar,nacional,17.5
187 Jucy Puzzy (50 g),tabaco-liar,nacional,4.55
187 Kool Bitch (200 g),tabaco-liar,nacional,17.5
187 Kool Bitch (50 g),tabaco-liar,nacional,4.55
187 Kool Wave (200 g),tabaco-liar,nacional,17.5
187 Kool Wave (50 g),tabaco-liar,nacional,4.55
187 Mama Canny (200 g),tabaco-liar,nacional,17.5
187 Mama Canny (50 g),tabaco-liar,nacional,4.55
187 Mts Greens (200 g),tabaco-liar,nacional,17.5
187 Mts Greens (50 g),tabaco-liar,nacional,4.55
187 New Flash (200 g),tabaco-liar,nacional,17.5
